,TRACK_ID,FRAME,TIME,PIXELS_X,PIXELS_Y,POSITION_X,POSITION_Y
0,0,0,0,214.9516728624535,350.3420074349442,57.821999999999996,94.242
1,0,1,30,207.9182156133829,347.76208178438657,55.93,93.54799999999999
2,0,2,60,205.9814126394052,348.53903345724905,55.409,93.757
3,0,3,90,208.91821561338287,347.42750929368026,56.199,93.458
4,0,4,120,210.04832713754647,346.3085501858736,56.503,93.15700000000001
5,0,5,150,210.16356877323418,348.1598513011152,56.534,93.655
6,0,6,180,215.0334572490706,350.5650557620818,57.843999999999994,94.302
7,0,7,210,215.37546468401487,353.75836431226764,57.93600000000001,95.161
8,0,8,240,212.84014869888475,359.2379182156134,57.254,96.635
9,0,9,270,210.56505576208176,362.17100371747205,56.641999999999996,97.42399999999999
10,0,10,300,207.78810408921933,366.1710037174721,55.895,98.5
11,0,11,330,208.53159851301115,363.9442379182156,56.095,97.90100000000001
12,0,12,360,210.57620817843866,363.2156133828996,56.645,97.705
13,0,13,390,212.05204460966542,359.80297397769516,57.042,96.787
14,0,14,420,215.92936802973978,357.67657992565057,58.085,96.215
15,0,15,450,217.8773234200743,358.3531598513011,58.608999999999995,96.397
16,0,16,480,219.6802973977695,361.14498141263937,59.093999999999994,97.148
17,0,17,510,219.27881040892194,363.2973977695167,58.986000000000004,97.727
18,0,18,540,218.6728624535316,363.31970260223045,58.823,97.73299999999999
19,0,19,570,217.94052044609666,362.3791821561338,58.626000000000005,97.48
20,0,20,600,218.89962825278806,361.1152416356877,58.88399999999999,97.14
21,0,21,630,220.8921933085502,360.4089219330855,59.42,96.95
22,0,22,660,221.93308550185873,360.33085501858733,59.7,96.929
23,0,23,690,221.71375464684016,361.17843866171006,59.641000000000005,97.15700000000001
24,0,24,720,223.02230483271376,360.8810408921933,59.993,97.07700000000001
25,0,25,750,222.96654275092936,361.98513011152414,59.978,97.374
26,0,26,780,222.79925650557618,362.73977695167287,59.933,97.57700000000001
27,0,27,810,222.28624535315984,364.09665427509293,59.795,97.94200000000001
28,0,28,840,221.8438661710037,366.74721189591077,59.676,98.655
29,0,29,870,223.06691449814127,367.17843866171,60.005,98.771
30,0,30,900,224.48698884758363,364.9553903345724,60.387,98.17299999999999
31,0,31,930,228.18587360594793,362.5985130111524,61.382,97.539
32,0,32,960,230.34944237918214,361.30111524163567,61.964,97.19
33,0,33,990,232.03345724907064,360.8401486988847,62.417,97.066
34,0,34,1020,234.68773234200742,360.5576208178438,63.131,96.99
35,0,35,1050,237.5167286245353,359.34944237918216,63.891999999999996,96.665
36,0,36,1080,239.59479553903347,360.02230483271376,64.45100000000001,96.846
37,0,37,1110,241.9442379182156,361.09665427509293,65.083,97.135
38,0,38,1140,242.99256505576204,359.3197026022305,65.365,96.65700000000001
39,0,39,1170,245.65055762081784,359.996282527881,66.08,96.839
40,0,40,1200,244.24907063197026,359.9330855018587,65.703,96.822
41,0,41,1230,242.5985130111524,359.0334572490706,65.259,96.58
42,0,42,1260,242.9442379182156,359.1226765799256,65.352,96.604
43,0,43,1290,243.364312267658,360.9144981412639,65.465,97.086
44,0,44,1320,244.37174721189592,361.41635687732344,65.736,97.221
45,0,45,1350,245.16356877323418,361.04089219330854,65.949,97.12
46,0,46,1380,245.59479553903344,360.003717472119,66.065,96.84100000000001
47,1,0,0,153.78438661710038,475.1003717472119,41.368,127.802
48,1,1,30,154.42007434944236,469.903345724907,41.538999999999994,126.404
49,1,2,60,160.65055762081784,468.21189591078064,43.215,125.949
50,1,3,90,165.64684014869886,458.42379182156134,44.559,123.316
51,1,4,120,172.14126394052045,456.089219330855,46.306000000000004,122.68799999999999
52,1,5,150,178.95910780669143,457.0594795539033,48.14,122.949
53,1,6,180,182.77695167286245,453.6208178438661,49.167,122.024
54,1,7,210,179.28624535315984,454.4981412639405,48.228,122.26
55,1,8,240,180.5799256505576,454.9702602230483,48.576,122.387
56,1,9,270,180.364312267658,455.88475836431223,48.518,122.633
57,1,10,300,176.02973977695166,457.30855018587357,47.352,123.016
58,1,11,330,173.7546468401487,459.4498141263941,46.74,123.59200000000001
59,1,12,360,171.81040892193306,460.32713754646835,46.217,123.82799999999999
60,1,13,390,168.55018587360595,461.35687732342006,45.34,124.105
61,1,14,420,168.64684014869889,462.76579925650555,45.36600000000001,124.484
62,1,15,450,169.453531598513,464.35687732342006,45.583,124.912
63,1,16,480,169.5985130111524,465.33085501858733,45.622,125.17399999999999
64,1,17,510,169.35315985130111,466.31970260223045,45.556000000000004,125.44
65,1,18,540,170.82899628252787,467.40520446096656,45.953,125.73200000000001
66,1,19,570,172.32342007434943,469.38289962825274,46.355,126.264
67,1,20,600,174.33085501858736,470.3680297397769,46.895,126.529
68,1,21,630,174.88475836431223,472.33457249070625,47.044,127.05799999999999
69,1,22,660,173.94052044609663,471.5762081784386,46.79,126.854
70,1,23,690,174.46840148698882,471.0260223048327,46.931999999999995,126.706
71,1,24,720,175.11524163568774,471.30483271375465,47.106,126.781
72,1,25,750,175.48698884758363,471.11152416356873,47.206,126.729
73,1,26,780,177.32713754646838,471.2416356877323,47.701,126.764
74,1,27,810,178.10037174721188,471.91821561338287,47.909,126.946
75,1,28,840,178.2193308550186,474.2825278810409,47.941,127.58200000000001
76,1,29,870,179.85501858736058,473.9293680297398,48.381,127.48700000000001
77,1,30,900,178.90706319702602,473.30855018587357,48.126000000000005,127.32
78,1,31,930,179.31970260223045,472.99256505576204,48.236999999999995,127.235
79,1,32,960,180.0297397769517,473.91821561338287,48.428000000000004,127.484
